Waste Type,Disposed_(tonne),Recycled_tonne,Generated_tonne,Recycling Rate,Year
Food waste,"5,15,100","32,900","5,48,000",6%,2003
Paper/Cardboard,"6,18,500","4,66,200","10,84,700",43%,2003
Plastics,"5,40,800","39,100","5,79,900",7%,2003
Construction Debris,"24,600","3,98,300","4,22,900",94%,2003
Wood/Timber,"1,72,600","40,800","2,13,400",19%,2003
Horticultural Waste,"1,85,300","1,19,300","3,04,600",39%,2003
Ferrous Metals,"57,700","7,99,000","8,56,700",93%,2003
Non-ferrous Metals,"18,100","75,800","93,900",81%,2003
Used Slag,"21,800","2,38,500","2,60,300",92%,2003
Sludge,"88,500",0,"88,500",0%,2003
Glass,"59,300","6,200","65,500",9%,2003
Textile/Leather,"90,700",900,"91,600",1%,2003
Scrap Tyres,"8,200","6,200","14,400",43%,2003
"Others (stones, ceramics & rubber etc)","1,03,800",0,"1,03,800",0%,2003
Total,"25,05,000","22,23,200","47,28,200",47%,2003
Food waste,"5,00,000","31,100","5,31,100",6%,2004
Paper/Cardboard,"6,12,200","5,19,900","11,32,100",46%,2004
Plastics,"6,09,000","74,100","6,83,100",11%,2004
Construction Debris,"38,000","4,71,000","5,09,000",93%,2004
Wood/Timber,"1,48,600","73,700","2,22,300",33%,2004
Horticultural Waste,"99,100","1,27,900","2,27,000",56%,2004
Ferrous Metals,"70,300","6,49,900","7,20,200",90%,2004
Non-ferrous Metals,"15,100","71,800","86,900",83%,2004
Used Slag,"7,600","2,59,600","2,67,200",97%,2004
Sludge,"93,900",0,"93,900",0%,2004
Glass,"68,700","4,900","73,600",7%,2004
Textile/Leather,"1,09,500",5000,"1,14,500",4%,2004
Scrap Tyres,"7,500","7,200","14,700",49%,2004
Others,"1,03,100","11,000","1,14,100",10%,2004
Total,"24,82,600","23,07,100","47,89,700",48%,2004
Food waste,"4,95,000","36,500","5,31,500",7%,2005
Paper/Cardboard,"5,58,100","5,40,500","10,98,600",49%,2005
Plastics,"5,88,800","86,000","6,74,800",13%,2005
Construction Debris,"27,200","4,65,300","4,92,500",94%,2005
Wood/Timber,"1,49,300","90,000","2,39,300",38%,2005
Horticultural Waste,"98,500","1,01,000","1,99,500",51%,2005
Ferrous Metals,"69,200","7,49,100","8,18,300",92%,2005
